,NIC_PT,NAME,NUI_PT,YEAR,AGECAT,SEXCAT,state
0,619028,South Dakota,81569,2014,0,0,46
1,311995,South Dakota,44775,2014,0,1,46
2,307033,South Dakota,36794,2014,0,2,46
3,425301,South Dakota,69504,2014,1,0,46
4,212005,South Dakota,38886,2014,1,1,46
5,213296,South Dakota,30618,2014,1,2,46
12,202386,South Dakota,13210,2014,4,0,46
16,4668482,Tennessee,765026,2014,0,0,47
17,2260335,Tennessee,416372,2014,0,1,47
18,2408147,Tennessee,348654,2014,0,2,47
19,3274648,Tennessee,691284,2014,1,0,47
20,1549520,Tennessee,379271,2014,1,1,47
21,1725128,Tennessee,312013,2014,1,2,47
28,1460324,Tennessee,81229,2014,4,0,47
32,18321348,Texas,4976322,2014,0,0,48
33,9044424,Texas,2563380,2014,0,1,48
34,9276924,Texas,2412942,2014,0,2,48
35,12074915,Texas,4201384,2014,1,0,48
36,5850386,Texas,2173287,2014,1,1,48
37,6224529,Texas,2028097,2014,1,2,48
44,6517132,Texas,857022,2014,4,0,48
48,2246121,Utah,360274,2014,0,0,49
49,1125567,Utah,192525,2014,0,1,49
50,1120554,Utah,167749,2014,0,2,49
51,1434896,Utah,279589,2014,1,0,49
52,708750,Utah,151478,2014,1,1,49
53,726146,Utah,128111,2014,1,2,49
60,844934,Utah,86869,2014,4,0,49
64,469034,Vermont,30387,2014,0,0,50
65,231251,Vermont,17717,2014,0,1,50
66,237783,Vermont,12670,2014,0,2,50
67,352588,Vermont,27864,2014,1,0,50
68,171357,Vermont,16492,2014,1,1,50
69,181231,Vermont,11372,2014,1,2,50
76,122753,Vermont,2802,2014,4,0,50
80,6099559,Virginia,863567,2014,0,0,51
81,2990230,Virginia,458609,2014,0,1,51
82,3109329,Virginia,404958,2014,0,2,51
83,4362240,Virginia,758908,2014,1,0,51
84,2103353,Virginia,404264,2014,1,1,51
85,2258887,Virginia,354644,2014,1,2,51
92,1817169,Virginia,116454,2014,4,0,51
96,5324170,Washington,630600,2014,0,0,53
97,2648913,Washington,356886,2014,0,1,53
98,2675257,Washington,273714,2014,0,2,53
99,3824133,Washington,556886,2014,1,0,53
100,1881035,Washington,318623,2014,1,1,53
101,1943098,Washington,238263,2014,1,2,53
108,1571621,Washington,81377,2014,4,0,53
112,1321256,West Virginia,156077,2014,0,0,54
113,650439,West Virginia,87762,2014,0,1,54
114,670817,West Virginia,68315,2014,0,2,54
115,963348,West Virginia,144251,2014,1,0,54
116,466614,West Virginia,82278,2014,1,1,54
117,496734,West Virginia,61973,2014,1,2,54
124,375591,West Virginia,13148,2014,4,0,54
128,4351387,Wisconsin,407618,2014,0,0,55
129,2164391,Wisconsin,229224,2014,0,1,55
130,2186996,Wisconsin,178394,2014,0,2,55
131,3132934,Wisconsin,352217,2014,1,0,55
132,1540863,Wisconsin,201355,2014,1,1,55
133,1592071,Wisconsin,150862,2014,1,2,55
140,1278131,Wisconsin,60802,2014,4,0,55
144,421425,Wyoming,69582,2014,0,0,56
145,214297,Wyoming,37652,2014,0,1,56
146,207128,Wyoming,31930,2014,0,2,56
147,294450,Wyoming,60856,2014,1,0,56
148,148998,Wyoming,33487,2014,1,1,56
149,145452,Wyoming,27369,2014,1,2,56
156,132307,Wyoming,9503,2014,4,0,56
160,3518948,Alabama,475233,2015,0,0,01
161,1702829,Alabama,255326,2015,0,1,01
162,1816119,Alabama,219907,2015,0,2,01
163,2464549,Alabama,443553,2015,1,0,01
164,1165201,Alabama,238923,2015,1,1,01
165,1299348,Alabama,204630,2015,1,2,01
172,1107045,Alabama,35299,2015,4,0,01
176,543431,Alaska,105982,2015,0,0,02
177,281786,Alaska,58574,2015,0,1,02
178,261645,Alaska,47408,2015,0,2,02
179,378828,Alaska,87073,2015,1,0,02
180,197172,Alaska,48710,2015,1,1,02
181,181656,Alaska,38363,2015,1,2,02
188,172023,Alaska,20339,2015,4,0,02
192,4849167,Arizona,710610,2015,0,0,04
193,2381658,Arizona,388270,2015,0,1,04
194,2467509,Arizona,322340,2015,0,2,04
195,3386176,Arizona,578613,2015,1,0,04
196,1634292,Arizona,322588,2015,1,1,04
197,1751884,Arizona,256025,2015,1,2,04
204,1532567,Arizona,147052,2015,4,0,04
208,2161171,Arkansas,269055,2015,0,0,05
209,1053491,Arkansas,150201,2015,0,1,05
210,1107680,Arkansas,118854,2015,0,2,05
211,1502431,Arkansas,236375,2015,1,0,05
212,716661,Arkansas,133417,2015,1,1,05
213,785770,Arkansas,102958,2015,1,2,05
220,689930,Arkansas,36302,2015,4,0,05
224,30037246,California,3234373,2015,0,0,06
225,14834107,California,1838772,2015,0,1,06
226,15203139,California,1395601,2015,0,2,06
227,21342675,California,2938321,2015,1,0,06
228,10396464,California,1689141,2015,1,1,06
229,10946211,California,1249180,2015,1,2,06
236,9146697,California,336774,2015,4,0,06
240,4216152,Colorado,428602,2015,0,0,08
241,2103325,Colorado,247254,2015,0,1,08
242,2112827,Colorado,181348,2015,0,2,08
243,3027802,Colorado,376228,2015,1,0,08
244,1494862,Colorado,220325,2015,1,1,08
245,1532940,Colorado,155903,2015,1,2,08
252,1243729,Colorado,57830,2015,4,0,08
256,2737364,Connecticut,201842,2015,0,0,09
257,1343035,Connecticut,114294,2015,0,1,09
258,1394329,Connecticut,87548,2015,0,2,09
259,2005588,Connecticut,178564,2015,1,0,09
260,969620,Connecticut,102337,2015,1,1,09
261,1035968,Connecticut,76227,2015,1,2,09
268,772715,Connecticut,26031,2015,4,0,09
272,710749,Delaware,52951,2015,0,0,10
273,343761,Delaware,29378,2015,0,1,10
274,366988,Delaware,23573,2015,0,2,10
275,515112,Delaware,47536,2015,1,0,10
276,244461,Delaware,26627,2015,1,1,10
277,270651,Delaware,20909,2015,1,2,10
284,205087,Delaware,5960,2015,4,0,10
288,538759,District of Columbia,24198,2015,0,0,11
289,256925,District of Columbia,14135,2015,0,1,11
290,281834,District of Columbia,10063,2015,0,2,11
291,424431,District of Columbia,22377,2015,1,0,11
292,199423,District of Columbia,13190,2015,1,1,11
293,225008,District of Columbia,9187,2015,1,2,11
300,119395,District of Columbia,2034,2015,4,0,11
304,13361134,Florida,2602192,2015,0,0,12
305,6459598,Florida,1413000,2015,0,1,12
306,6901536,Florida,1189192,2015,0,2,12
307,9606466,Florida,2324052,2015,1,0,12
308,4541975,Florida,1271624,2015,1,1,12
309,5064491,Florida,1052428,2015,1,2,12
