,state,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income,latitude,longitude,name
0,AK,15520.427586206897,8694.782040827586,12361.72074951724,15641.815574482758,8774.125398206897,15194.391719172414,9047.294051586206,85234.55735999999,81242.83135775862,63.588753,-154.493062,Alaska
1,AL,9181.392517611941,8480.711292716418,13141.56889002985,14236.294295462689,6399.67677116418,9552.574830089552,7975.3514729552235,68967.5700197015,58099.87150186567,32.318231,-86.902298,Alabama
2,AR,8886.487749279999,7788.489356,13131.927386079999,12038.5118632,6042.001844640001,7732.10427616,5872.3692657599995,61491.8918512,55025.5678125,35.20105,-91.831833,Arkansas
3,AZ,12793.9107336,8146.2885160000005,13479.581413599999,14532.482911199999,7587.459998400001,11314.8930784,8131.3225224,75985.93937600001,59661.879166666666,34.048928,-111.093731,Arizona
4,CA,20232.487360137933,9673.952906482758,14740.170922344827,14221.493600068965,10836.282740275861,10761.334635724139,12713.440852965517,93179.16306,82922.16924838362,36.778261,-119.417932,California
5,CO,14133.4356886875,9168.687727312501,14616.030772875,10427.4207976875,8443.278293625,11290.9788075,9515.950683375,77595.782964375,75158.80529785156,39.550051,-105.782067,Colorado
6,CT,16953.5644215,9703.825337999999,13606.714935,13085.251473,9659.0236095,13624.394466000002,13380.730326,90013.50461999999,103228.2333984375,41.603221,-73.087749,Connecticut
7,DC,21089.38596,11631.158784,7961.970432,14065.9011,11855.943468000001,31940.4924,21744.785219999998,120289.63692,116607.390625,38.905985,-77.033418,District of Columbia
8,DE,14449.7906,8989.749036,13320.44572,14330.672687999999,8493.069652,11319.138832,10602.651432,81505.51756000001,81198.6640625,38.910832,-75.52767,Delaware
9,FL,13166.638745014925,8955.002390149253,12972.213807044776,13543.692272776121,8015.543004358209,8797.532817671641,6071.099941074627,71521.72298149254,64294.176597481346,27.664827,-81.515754,Florida
10,GA,9991.266494716981,8232.04348,13208.205735773583,12863.149408,6603.023894490566,7299.594340830188,6701.05331645283,64898.33659396227,59841.33613404088,32.157435,-82.907123,Georgia
11,HI,22335.139128,12852.9297264,13949.0729496,11638.530996000001,12750.0248232,13198.917811199999,18172.647048,104897.26226399999,99596.9921875,19.898682,-155.665857,Hawaii
12,IA,9710.733269454546,7872.1353270303025,13895.873568363637,12156.447592242423,6370.966712727272,8656.973161939393,7425.909571515152,66089.03930787879,74522.30500315657,41.878003,-93.097702,Iowa
13,ID,10711.257416454546,8729.474354727274,14391.546485727273,12514.745433272728,7044.143792181819,9655.050370363637,7459.801566,70506.01943999999,63504.19691051136,44.068202,-114.742041,Idaho
14,IL,10140.770715294117,7684.844930941177,13523.060966117648,15632.785638705882,6458.923552941176,10554.929404470588,9029.297872941175,73024.61305294117,73194.42578125,40.633125,-89.398528,Illinois
15,IN,10183.022277913044,7476.631628608696,13385.544981,12401.905053913042,6398.789053565217,12064.405249043479,7251.3823064347835,69161.68045956522,70347.77454144022,40.551217,-85.602364,Indiana
16,KS,9675.83905542857,8134.008803428571,13828.666921600001,14325.083046857144,6453.210268914286,7853.4882889142855,6962.7802058285715,67233.07662514286,68094.71253720239,39.011902,-98.484246,Kansas
17,KY,9264.436090000001,7454.149497200001,13444.112675600001,12637.323742,6057.802890100001,9151.5469626,7284.855799599999,65294.227775,58144.298665364586,37.839333,-84.270018,Kentucky
18,LA,10721.3652395625,8451.393716062501,13140.452783249999,14997.6591789375,6947.046667875,6766.504301625,7257.9278015625,68282.349845625,58620.873138427734,31.244823,-92.145024,Louisiana
19,MA,21447.66233742857,10370.573459142857,12986.786190857143,11432.136849428573,11529.001648285714,18146.393778857142,15979.021309714286,101891.57594571428,100532.20982142857,42.407211,-71.382437,Massachusetts
20,MD,16307.275197500001,8959.5293275,13674.5560175,9015.9699115,9155.159809,12018.683361,9870.316977,79001.490465,96138.12760416667,39.045755,-76.641271,Maryland
21,ME,12014.3904945,10236.02464575,13511.80492875,13055.79658125,8062.202881499999,9010.047601499999,8318.16968325,74208.436575,69733.93920898438,45.253783,-69.445469,Maine
22,MI,10453.398516,8081.84178173494,13498.833483325301,11321.191634024097,6716.0485444337355,11360.720515951809,7350.064246409639,68782.09874313253,66016.92286332832,44.314844,-85.602364,Michigan
23,MN,10909.731249931036,8496.356437793103,13860.518967172413,12371.293413931035,7031.590875862069,11073.390693517242,8005.468306068966,71748.34987724139,78767.61377514368,46.729553,-94.6859,Minnesota
24,MO,9267.675736137931,7759.355090999999,13243.78763524138,15061.465639551723,6169.564771344827,7873.089313034482,6845.8245517241385,66220.76276793104,61569.82904211956,37.964253,-91.831833,Missouri
25,MS,9350.474984634146,8264.917106780487,13080.322560731707,14640.994912682925,6382.7512609756095,3846.99516497561,5794.534741609756,61360.990603902435,52281.52431878811,32.354668,-89.398528,Mississippi
26,MT,10777.0706055,8841.369538071429,14527.148772214287,12372.540605357142,7108.5345735,11832.66564942857,9297.517588071429,74756.84735357143,66608.07875279018,46.879682,-110.362566,Montana
27,NC,10528.09537716,8101.7874169199995,13268.15706672,13978.24762548,6750.341259600001,9440.544273840002,7946.41397676,70013.5869528,62694.3223046875,35.759573,-79.0193,North Carolina
28,ND,10379.511631698115,8839.559501886793,14517.901460603774,11312.800395169812,6963.827396830189,10699.863836377359,5996.463598867925,68709.9276090566,82881.29142099057,47.551493,-101.002012,North Dakota
29,NE,9669.668622193547,8244.550587096774,14130.400164,17667.028342580645,6491.028108774193,12137.050646193547,9344.875703096774,77684.60194193547,71279.6363407258,41.492537,-99.901813,Nebraska
30,NH,14636.2873752,9769.6364868,13789.3676472,9644.0378592,8843.2287276,11368.069979999998,6751.865862000001,74802.494172,89199.25,43.193852,-71.572395,New Hampshire
31,NJ,20041.624333714284,9574.312942285715,12655.240964,12029.928756,10731.022045142858,15062.561234285713,12480.573158285713,92575.26389142856,104246.45982142857,40.058324,-74.405661,New Jersey
32,NM,11098.560925818183,8407.743336727273,13523.317778181818,9936.787400363637,7067.903321454545,10937.697912,6715.551334909092,67687.56208727273,57366.03314393939,34.97273,-105.032363,New Mexico
33,NV,11752.710806117646,9006.603507529411,14758.563785647058,14747.497512705882,7521.918270352941,11146.450382117646,6991.566199764705,75925.31020235295,74772.6270680147,38.80261,-116.419389,Nevada
34,NY,14128.711020387096,8762.145678387096,13017.763703806451,12217.500263612903,8294.260118709677,18234.22963548387,12109.444072064516,86764.05435290321,80175.48834425403,43.299428,-74.217933,New York
35,OH,10219.128952909092,7613.183518363636,13150.143775363636,11501.119041681819,6461.350079318181,10213.477841727272,5941.784316272728,65100.18750818182,70903.52871981534,40.417287,-82.907123,Ohio
36,OK,9835.392297194805,8258.433600935065,13860.077201298702,13996.42816394805,6556.106677558441,10655.577850597403,7948.659703324676,71110.67537298701,61805.006493506495,35.007752,-97.092877,Oklahoma
37,OR,13871.104395333334,9101.673092,14027.645025,12768.552422333332,8323.943243666667,12415.406518666667,13309.707870666667,83818.03268333332,68232.7333984375,43.804133,-120.554201,Oregon
38,PA,11177.236365850747,8430.996852716418,13227.439709731345,11260.004017253732,7104.836182925374,12808.142150328358,8105.685545731343,72114.3407641791,73501.25064132463,41.203322,-77.194525,Pennsylvania
39,RI,16594.7252544,10320.3034872,12764.529648,9078.537864,9752.3763576,14802.695184,10199.6026344,83512.769736,101153.2484375,41.580095,-71.477429,Rhode Island
40,SC,10396.033978695652,7944.085326521739,13075.94370573913,12124.857247826087,6645.348515739131,6562.758857217392,5355.842243217391,62104.86980608696,60021.241338315216,33.836081,-81.163725,South Carolina
41,SD,9607.76053581818,8673.512341454547,13965.178835454546,16936.346935272726,6624.026100545454,8883.498040727274,5848.400539090909,70538.72318727273,69327.77864583333,43.969515,-99.901813,South Dakota
42,TN,9742.246078105263,8404.915791789474,13388.35801288421,12628.856286442106,6575.432410863157,7788.3440544000005,4342.954588168422,62871.10726105263,59715.51192434211,35.517491,-86.580447,Tennessee
43,TX,11119.062746456691,7673.697072236221,13660.94247552756,13461.441193181103,6809.35802343307,7362.309620125985,4708.587249321259,64795.398351968506,66050.29426827018,31.968599,-99.901813,Texas
44,UT,11418.713450068966,8479.065999310345,14934.512679310345,12302.559405931033,7209.750201517241,11745.411428689655,9519.041265931035,75609.05436000001,75671.13106142242,39.32098,-111.093731,Utah
45,VA,12862.604801593985,8526.298745954888,13507.020366406015,13182.814430616541,7750.0432681804505,11062.401409082708,9857.37505506767,76748.55800932331,76830.18952655075,37.431573,-78.656894,Virginia
46,VT,13487.158854,10203.646728,14039.67381257143,15202.04032457143,8584.11321,11576.131465714285,10045.560134571428,83138.32448571429,77969.39453125,44.558803,-72.577841,Vermont
47,WA,14035.822855692306,9232.882682461539,14428.061044615386,10864.519755076923,8431.16968123077,11674.968127384614,6981.485965538462,75648.91015076922,74820.33814102564,47.751074,-120.740139,Washington
48,WI,10453.766250166667,8124.202130666667,13645.080319666666,13253.915261666665,6731.5306218333335,12317.522678,8624.602324666666,73150.61948166667,74495.81586371528,43.78444,-88.787868,Wisconsin
49,WV,9264.1717128,7737.175183636363,13462.662652145455,20142.651212072728,6160.2584733818185,10107.86561629091,10024.918307345455,76899.70326545453,58596.51917613636,38.597626,-80.454903,West Virginia
